"Please indicate whether you felt positive,neutral,or negative watching the clip of interest. If you felt different emotional valences throughout the clip,you may select multiple options.",What level of emotional arousal did you feel while watching the clip? If you felt different arousal states during the clip you may pick more than one response.,Please indicate whether you personally experienced any of these emotions while you watched the clip. - Thinking: trying to understand what's happening,Please indicate whether you personally experienced any of these emotions while you watched the clip. - Interested/engaged: paying careful attention,Please indicate whether you personally experienced any of these emotions while you watched the clip. - Amused,Please indicate whether you personally experienced any of these emotions while you watched the clip. - Happy,Please indicate whether you personally experienced any of these emotions while you watched the clip. - Sad,Please indicate whether you personally experienced any of these emotions while you watched the clip. - Surpised,Please indicate whether you personally experienced any of these emotions while you watched the clip. - Angry,Please indicate whether you personally experienced any of these emotions while you watched the clip. - Disgusted,Please indicate whether you personally experienced any of these emotions while you watched the clip. - Fearful
3,4,4,3,1,1,1,2,1,1,1
3,3,3,3,1,1,1,1,1,1,1
4,4,4,4,1,1,1,2,1,1,1
3,3,2,4,1,1,1,1,1,1,1
4,4,4,4,1,2,1,1,1,1,1
"4,3",3,5,4,1,1,1,2,1,1,1
2,4,4,4,1,1,3,3,1,1,2
3,"4,3",4,5,1,1,1,1,1,1,1
2,4,4,4,1,1,3,2,1,1,1
4,4,4,5,1,1,1,2,1,1,2
2,4,4,4,1,1,3,3,2,2,3
2,4,5,5,1,1,3,2,1,2,2
3,3,4,3,1,1,2,2,1,1,2
3,1,2,5,1,1,1,1,1,1,1
4,4,4,4,1,1,1,2,1,1,1
4,4,3,5,1,3,1,1,1,1,1
3,3,1,2,1,1,1,1,1,1,1
3,1,1,4,1,1,3,3,1,1,1
4,4,4,3,1,2,2,1,1,1,1
4,4,5,5,2,2,1,1,1,1,1
5,4,4,4,1,3,1,3,1,1,1
4,4,4,5,1,2,1,1,1,1,1
3,3,4,2,1,1,1,1,1,1,1
4,4,4,5,1,2,3,1,1,1,1
4,4,4,4,1,2,1,1,1,1,1
"5,4","5,4",5,5,2,3,1,1,1,1,2
5,4,4,4,1,3,1,1,1,1,1
4,4,3,5,1,2,1,1,1,1,1
3,4,4,3,1,1,1,1,1,1,1
5,5,4,5,1,4,1,4,1,1,1
2,4,4,3,1,1,3,2,1,1,1
3,1,3,4,1,2,1,1,1,1,1
3,4,4,3,1,1,2,1,1,1,1
4,4,3,5,1,2,1,1,1,1,1
4,4,4,3,1,3,1,2,1,1,1
4,4,4,5,1,4,1,1,1,1,1
2,4,4,4,1,1,4,2,1,1,3
2,5,5,5,1,1,4,2,3,2,4
4,4,2,2,1,2,1,1,1,1,1
3,"2,1",2,4,1,1,1,2,1,1,1
4,4,4,4,3,3,1,3,1,1,1
4,4,3,5,4,4,1,5,1,1,1
4,4,4,3,1,2,1,1,1,1,1
4,4,4,4,2,3,1,1,1,1,1
4,4,4,3,1,2,1,2,1,1,1
5,5,4,4,5,4,1,2,1,1,1
4,4,4,4,3,3,1,2,1,1,1
"4,3","3,2",4,4,1,2,1,1,1,1,1
2,3,4,3,1,1,2,2,2,2,1
2,4,4,4,1,1,3,3,2,2,3
1,4,4,3,1,1,3,3,3,4,1
1,"5,4",4,5,1,1,4,4,5,4,4
4,4,3,3,1,2,1,1,1,1,1
2,2,5,5,1,1,1,1,1,1,1
4,4,4,4,1,2,1,1,1,1,1
3,2,3,4,1,2,1,1,1,1,2
4,3,1,3,1,3,1,1,1,1,1
4,4,3,4,1,3,1,1,1,1,1
4,3,3,3,1,2,1,1,1,1,1
"3,1",4,3,4,1,3,3,3,3,3,3
4,4,3,3,2,3,2,1,1,1,1
5,4,3,4,1,4,1,1,1,1,1
4,4,4,4,1,2,1,1,1,1,1
5,4,3,4,3,3,1,1,1,1,1
3,3,4,4,1,1,1,1,1,1,1
3,3,2,3,2,2,1,2,1,1,1
3,3,4,4,1,1,1,1,1,1,1
4,"4,3",3,4,2,1,1,4,1,1,3
3,3,4,4,1,1,1,1,1,1,1
"4,3","5,4",4,4,2,1,1,3,1,1,3
3,3,4,4,1,1,1,1,1,1,1
4,5,4,3,3,1,1,2,1,1,2
3,3,4,4,1,1,1,1,1,1,1
4,4,2,3,3,2,1,2,1,1,1
3,3,4,4,1,1,1,1,1,1,1
4,"4,3",2,3,3,1,1,3,1,1,1
3,3,4,4,1,1,1,1,1,1,1
4,"3,2",1,2,2,1,1,1,1,1,1
3,3,4,4,1,1,1,1,1,1,1
"3,2","2,1",1,2,1,1,1,2,1,1,1
3,3,4,4,1,1,1,1,1,1,1
"3,2",2,3,2,3,1,1,2,1,1,1
3,3,4,4,1,1,1,1,1,1,1
"3,2",3,1,3,1,1,1,1,1,1,1
3,3,4,4,1,1,1,1,1,1,1
4,4,3,4,3,4,1,2,1,1,1
3,3,4,4,1,1,1,1,1,1,1
2,2,2,3,1,1,1,3,1,1,1
3,3,4,4,1,1,1,1,1,1,1
3,4,2,4,2,1,1,2,1,2,1
3,3,4,4,1,1,1,1,1,1,1
3,3,3,1,1,1,1,1,1,2,1
3,3,4,4,1,1,1,1,1,1,1
4,3,1,2,1,1,1,3,1,1,1
3,3,4,4,1,1,1,1,1,1,1
2,2,1,3,2,1,1,1,1,1,1
3,3,4,4,1,1,1,1,1,1,1
3,4,1,2,1,1,1,2,1,1,1
3,3,4,4,1,1,1,1,1,1,1
3,3,1,2,1,1,1,2,1,1,1
3,3,4,4,1,1,1,1,1,1,1
2,1,4,4,2,1,2,1,1,2,1
3,3,4,4,1,1,1,1,1,1,1
2,3,2,2,2,1,2,1,1,1,2
3,3,4,4,1,1,1,1,1,1,2
4,4,2,3,2,2,1,1,1,1,1
3,3,4,4,1,1,1,1,1,1,1
2,3,3,2,1,1,1,1,2,2,1
3,3,4,4,1,1,1,1,1,1,1
4,3,2,2,1,1,1,1,1,1,1
3,3,4,4,1,1,1,1,1,1,1
3,3,3,2,1,1,1,1,1,1,1
3,3,4,4,1,1,1,1,1,1,1
4,3,4,2,2,1,1,1,1,1,1
3,3,4,4,1,1,1,1,1,1,1
3,3,2,2,1,1,1,1,1,1,1
3,3,4,4,1,1,1,1,1,1,1
3,4,2,3,2,1,1,3,1,2,1
4,1,1,2,1,2,1,1,1,1,1
4,4,4,4,3,3,1,2,1,1,1
3,1,3,3,1,1,1,1,1,1,1
4,4,3,4,1,1,1,3,1,1,1
4,2,3,3,1,1,1,1,1,1,1
4,5,3,4,2,3,1,2,1,1,1
3,3,2,3,1,1,1,1,1,1,1
4,4,2,3,2,3,1,2,1,1,1
3,3,3,3,1,1,1,1,1,1,1
4,5,2,2,1,2,1,1,1,1,1
"4,3,2","4,3,2",5,5,1,1,1,3,1,1,1
4,1,3,3,1,2,1,1,1,1,1
"4,3,2","3,2",5,5,1,1,1,2,1,1,1
3,1,3,3,1,1,1,1,1,1,1
"3,2","3,2",5,5,1,1,2,2,1,1,1
3,1,3,3,2,2,1,2,1,1,1
"4,3","4,3",5,5,2,2,1,2,1,1,1
4,1,3,3,2,2,1,1,1,1,1
"3,2","3,2",5,5,1,1,2,2,1,1,1
2,2,3,3,1,1,1,4,1,2,1
"3,2",3,5,5,1,1,1,2,1,1,1
2,2,3,3,1,1,1,2,1,1,1
"4,3,2",3,5,5,1,1,1,1,1,1,1
2,3,3,3,1,1,2,2,1,1,3
"4,3","4,3",5,5,2,2,1,1,1,1,1
4,2,3,3,3,3,1,2,1,1,1
"3,2","3,2",5,5,1,1,2,2,1,1,3
2,3,3,3,1,1,1,1,1,1,3
"3,2",3,5,5,1,1,1,2,1,1,1
3,4,4,3,1,1,1,3,1,1,2
3,3,5,5,1,1,1,2,1,1,1
2,3,4,3,1,1,1,4,1,1,2
"3,2","3,2",5,5,1,1,2,2,1,1,2
2,5,4,4,1,1,3,1,1,1,4
"3,2","3,2",5,5,1,1,1,1,1,1,2
2,4,4,4,1,1,1,3,1,1,3
"3,2",3,5,5,1,1,1,1,1,1,1
3,3,5,4,1,1,1,1,1,1,3
3,3,5,5,1,1,1,2,1,1,1
3,3,5,4,1,1,1,1,1,1,2
"3,2",3,5,5,1,1,1,1,1,1,1
3,3,5,4,1,1,1,1,1,1,2
"3,2",3,5,5,1,1,2,1,1,1,1
3,3,5,4,1,1,1,1,1,1,1
4,4,5,5,1,3,1,1,1,1,1
4,3,3,4,1,3,1,2,1,1,1
"5,4",4,4,5,2,4,1,1,1,1,1
4,3,4,4,1,3,1,1,1,1,1
5,4,3,4,1,4,1,1,1,1,1
4,3,4,4,1,2,1,1,1,1,1
4,4,3,4,1,4,1,1,1,1,1
4,3,4,4,1,2,1,1,1,1,1
4,3,4,4,1,3,1,1,1,1,1
"4,3",3,4,4,1,2,1,1,1,1,1
4,3,5,5,1,3,1,1,1,1,1
