sec,face_present,num_faces,face_area,MovieID,AM_Label
772-777,4,0.6666666666666666,0.050323367429276254,1,AMY-HI
209-214,6,1.0,0.0,1,AMY-HI
571-576,6,1.0,0.0,1,AMY-HI
414-419,6,1.5,0.14505015639588237,1,AMY-HI
313-318,3,0.5,0.006640068410585333,1,AMY-HI
52-57,4,0.6666666666666666,0.0030145076258728497,1,AMY-HI
551-556,3,0.5,0.1424056589603425,1,AMY-HI
849-854,3,1.0,0.04779598489403728,1,AMY-HI
835-840,3,0.5,0.020072950981557366,1,AMY-HI
63-68,6,1.0,0.0127344053859512,1,AMY-HI
96-101,5,0.8333333333333334,0.11600617629786336,1,AMY-HI
676-681,2,0.3333333333333333,0.1275848001241685,1,AMY-HI
163-168,3,0.5,0.0,1,AMY-HI
617-622,2,0.3333333333333333,0.061143790682157,1,AMY-HI
489-494,6,1.0,0.15380207922620084,1,AMY-HI
591-596,6,1.0,0.19032207876443866,1,AMY-HI
462-467,2,0.3333333333333333,0.013007836416363716,1,AMY-LO
195-200,2,0.3333333333333333,0.13904794553915648,1,AMY-LO
350-355,2,0.6666666666666666,0.00048795032004513337,1,AMY-LO
823-828,0,0.0,0.0,1,AMY-LO
131-136,2,0.8333333333333334,0.04231331124901766,1,AMY-LO
478-483,0,0.0,0.0,1,AMY-LO
743-748,0,0.0,0.0,1,AMY-LO
869-874,1,0.16666666666666666,0.04461918274561567,1,AMY-LO
623-628,2,0.3333333333333333,0.06082833558320999,1,AMY-LO
286-291,0,0.0,0.0,1,AMY-LO
336-341,0,0.0,0.0,1,AMY-LO
404-409,0,0.0,0.0,1,AMY-LO
603-608,0,0.0,0.0,1,AMY-LO
249-254,0,0.0,0.0,1,AMY-LO
670-675,0,0.0,0.0,1,AMY-LO
75-80,5,0.8333333333333334,0.1088968974848588,1,AMY-LO
25-30,5,2.0,0.014183192804921418,2,AMY-HI
119-124,3,0.5,0.003801326810692717,2,AMY-HI
279-284,3,0.5,0.026496692560613152,2,AMY-HI
510-515,5,1.5,0.006926481146365383,2,AMY-HI
548-553,6,2.0,0.031784127776821464,2,AMY-HI
847-852,4,1.3333333333333333,0.06376301497220992,2,AMY-HI
831-836,2,0.3333333333333333,0.009925755982597666,2,AMY-HI
861-866,0,0.0,0.0,2,AMY-HI
489-494,4,2.0,0.03556166387473544,2,AMY-HI
137-142,6,3.1666666666666665,0.03852928569540392,2,AMY-HI
451-456,6,2.5,0.010968653562789135,2,AMY-HI
782-787,6,1.0,0.0587399620562792,2,AMY-HI
360-365,6,3.8333333333333335,0.049140752603610345,2,AMY-HI
700-705,6,2.0,0.037181205892314516,2,AMY-HI
231-236,4,0.8333333333333334,0.025190773109594982,2,AMY-HI
104-109,4,0.6666666666666666,0.035694163913528115,2,AMY-HI
88-93,0,0.0,0.0,2,AMY-LO
867-872,3,0.5,0.06884013005765165,2,AMY-LO
713-718,6,2.3333333333333335,0.047879335004836314,2,AMY-LO
821-826,0,0.0,0.0,2,AMY-LO
655-660,6,1.0,0.022168222193916648,2,AMY-LO
200-205,6,1.3333333333333333,0.010885441418698365,2,AMY-LO
603-608,3,0.5,0.013076576404273517,2,AMY-LO
431-436,6,4.166666666666667,0.07034725633760296,2,AMY-LO
625-630,6,2.6666666666666665,0.02716860206176835,2,AMY-LO
271-276,1,0.16666666666666666,5.983134906273333e-05,2,AMY-LO
124-129,0,0.0,0.0,2,AMY-LO
473-478,6,4.166666666666667,0.009745950674793334,2,AMY-LO
385-390,6,6.166666666666667,0.0286187091842294,2,AMY-LO
71-76,5,1.1666666666666667,0.0436304600443691,2,AMY-LO
180-185,5,1.3333333333333333,0.0019617532525444165,2,AMY-LO
112-117,3,1.0,0.012847905357678734,2,AMY-LO
829-834,3,0.5,0.020349960774183266,3,AMY-HI
550-555,5,1.3333333333333333,0.08780572315057134,3,AMY-HI
119-124,1,0.16666666666666666,0.038380419214566495,3,AMY-HI
452-457,5,0.8333333333333334,0.04112537081042925,3,AMY-HI
843-848,3,1.0,0.047161062558492034,3,AMY-HI
275-280,4,0.6666666666666666,0.06797043482462554,3,AMY-HI
384-389,5,1.0,0.04623399411017696,3,AMY-HI
176-181,0,0.0,0.0,3,AMY-HI
595-600,3,0.5,0.017712525790557248,3,AMY-HI
103-108,0,0.0,0.0,3,AMY-HI
